Query,Dialect,Query Real Answer
"घरना पोरं उघडा, नी याहीणले नेसाडा लुगडा.",Ahirani,घरातली पोर उघडी राहिली तरी चालतील पण व्याहिणीला साडी नेसवायची.
धल्ली मरो नि संगात करो,Ahirani,छोट्याशा गोष्टीसाठी मोठं मोठे प्रयत्न करणे
"जिना गळात गाठलं, तिलेच बसाले पाटलं",Ahirani,"गाठल म्हणजे गंठण, सोन्याचा मोठा गोफ.. पाटल= पाटल ,पिढ. श्रीमंत असामीचा आदर सत्कार होतो. सोने नाणे असलेल्यांनाच मान मिळतो, पैसेवाल्याचेच आदरातिथ्य होते."
तुला लगिन व्हायेल का?,Ahirani, तुझे लग्न झाले आहे का
मॅनेजर ना हापिस काठा शे?,Ahirani,मॅनेजरची केबिन कुठे आहे?
आखो कितला दूर जान शे?,Ahirani,अजून किती दूर जायचं आहे?
त्या मीटिंगले उशिरा कबर वनत?,Ahirani,त्या मीटिंगला उशिरा का येत आहे?
गावात तात्यावाचून पान हालानं नही. मानोस काही सिकेल व्हता आसे नही,Ahirani,गावात तात्याशिवाय पान हालत नाही. माणूस शिकलेला होता असं नाही.
पन कोनी काय टाप त्याले आंग्ठेबहादूर म्हनानी?,Ahirani,पण कोणाची हिंमत त्याला म्हणायची?
तात्याले वावरात जावानी कदी पाळी वनी नही,Ahirani,तात्यांना शेतात जायची कधीच पाळी आली नाही.
गावातला लोकंभी त्याले सळ खाऊ देवाना नही.,Ahirani,गावातील लोकसुद्धा त्याला शांत बसू देत नव्हते.
पंगतम्हानभी बसा मंडळी आसे म्हनालेभी तात्याज पायजे.,Ahirani,पंगतीत ‘बसा मंडळी’ असे म्हणणारा पण तात्याच हवा.
बोघोनं घेऊन ये.,Ahirani,पातेलं घेऊन ये.
संपुट देवळात ठेव.,Ahirani,फुलपात्र देवळात ठेव.
शिंगल आणून दे.,Ahirani,कप आणून दे.
लच्छ्या नवं घ्यायचं हाय.,Ahirani,पैंजण नवे घ्यायचे आहे.
डबडं स्वयंपाकघरात ठेव.,Ahirani,डब्बा स्वयंपाकघरात ठेव.
टोंगल स्वच्छ करून ठेव.,Ahirani,झुमके स्वच्छ करून ठेव.
नातासनी कदर भी पैसासना मायेक कारण दोन्हिसले कमावान कठिन शे गमावान सोप शे.,Ahirani,"नात्यांची कदर पैशासारखीच करा, कारण दोन्ही कमावणे कठीण आहे आणि गमावणे सोपे आहे."
हाड्या काव-काव करत होता,Ahirani,कावळा काव-काव करत होता.
"माय माय करू, माय साखरन पोतं",Ahirani,"आई, आई करू, आई साखरेच्या पोत्यासारखी गोड आहे."
"मायना बिगर, कोन करेना आलोखी ",Ahirani,आईशिवाय मला कोणीच विचारपूस करणार नाही किंवा माझी काळजी घेणार नाही.
मन मायमा मना गच्ची जीव शे,Ahirani,माझ माझ्या आईवर खूप प्रेम आहे
कसा होत राहणा मन बाळ न,Ahirani,कसा होताय माझा बाळा ला
वाह रे कपटी माणूस,Ahirani,वा रे कपटी माणूस—तू किती कपटी आहेस!
आळा पळ !,Ahirani, रात्री जागरण करू नकोस. चुपचाप झोप
अंध्यासना बजार भरना,Ahirani,अंधांना बाजार उभं राहा
दगडले शेंदूर लाईसन पुजतस,Ahirani,दगडले शेंदूर लावून पूजा करता
घरमा म्हातारा माय बापले,Ahirani,घरी म्हातारा आईवडील आहेत
